tempo,danceability,energy,instrumentalness,liveness,valence
156.985,0.831,0.8140000000000001,0.0134,0.0556,0.389
115.08,0.7190000000000001,0.493,0.0,0.11800000000000001,0.124
218.05,0.85,0.893,4.14e-06,0.37200000000000005,0.0391
186.94799999999998,0.47600000000000003,0.7809999999999999,0.0,0.114,0.175
147.988,0.7979999999999999,0.624,0.0,0.166,0.591
144.915,0.721,0.568,0.212,0.128,0.109
130.826,0.718,0.6679999999999999,0.0078,0.124,0.038
138.049,0.6940000000000001,0.711,0.0,0.11199999999999999,0.28300000000000003
219.96,0.774,0.7509999999999999,0.0,0.0728,0.18899999999999997
199.942,0.893,0.907,0.0311,0.5579999999999999,0.302
189.938,0.8640000000000001,0.365,0.0,0.11599999999999999,0.0478
124.514,0.736,0.932,0.0025,0.182,0.18
149.97,0.825,0.7609999999999999,0.00359,0.33399999999999996,0.161
139.99,0.767,0.5760000000000001,2.61e-06,0.0968,0.187
128.014,0.765,0.726,0.0,0.619,0.27
159.996,0.617,0.541,0.0,0.369,0.43
199.958,0.755,0.298,0.32899999999999996,0.10099999999999999,0.0372
120.00399999999999,0.8140000000000001,0.575,0.000291,0.109,0.28800000000000003
128.066,0.812,0.813,0.00015,0.0758,0.348
212.15,0.8490000000000001,0.648,0.00592,0.0984,0.196
114.956,0.602,0.578,0.0,0.16399999999999998,0.156
111.958,0.8759999999999999,0.768,1.21e-05,0.28300000000000003,0.72
139.97299999999998,0.777,0.711,0.0,0.205,0.293
112.97,0.8290000000000001,0.59,0.0107,0.114,0.332
118.03,0.7829999999999999,0.929,0.00414,0.6890000000000001,0.152
141.52,0.787,0.727,0.0017,0.376,0.21
130.037,0.705,0.648,0.000595,0.373,0.39799999999999996
125.01299999999999,0.69,0.76,0.0,0.134,0.0797
139.967,0.799,0.966,0.0,0.6579999999999999,0.8640000000000001
121.979,0.9359999999999999,0.47600000000000003,0.0,0.402,0.363
114.771,0.838,0.634,0.0,0.111,0.22399999999999998
130.028,0.9640000000000001,0.51,6.47e-06,0.0549,0.474
120.006,0.83,0.387,0.40700000000000003,0.0926,0.561
